key,description,en,ru,es,it,de,nl,fr,pl
new_tariff_dedicated_start_servers,NewTariff,Dedicated servers,Доступ к выделенным серверам,Servidores dedicados,Server dedicati,Dedizierte Server,Toegewijde servers,Serveurs dédiés,Serwery dedykowane
new_tariff_common_servers,NewTariff,Shared server access,Доступ к общим серверам,Acceso al servidor compartido,Accesso al server condiviso,Gemeinsamer Serverzugriff,Gedeelde servertoegang,Accès au serveur partagé,Współdzielony dostęp do serwera
new_tariff_price_single_payment,NewTariff,Buffer-free 4K streaming,YouTube и видеоконтент в 4K,Transmisión 4K sin búfer,Streaming 4K senza buffer,Pufferfreies 4K-Streaming,Buffervrije 4K-streaming,Streaming 4K sans tampon,Przesyłanie strumieniowe 4K bez buforowania
new_tariff_price_no_payment,NewTariff,"No auto-renewals, zero sneaky charges","Без списаний, без подписки","Sin renovaciones automáticas, sin cargos engañosos","Nessun rinnovo automatico, zero costi subdoli","Keine automatischen Verlängerungen, keine hinterhältigen Gebühren","Geen automatische verlengingen, geen stiekeme kosten","Pas de renouvellement automatique, aucun frais sournois","Żadnych automatycznych odnawiań, zero podstępnych opłat"
new_tariff_price_device_info,NewTariff,Unlimited devices,Неограниченное количество подключенных устройств,Dispositivos ilimitados,Dispositivi illimitati,Unbegrenzte Anzahl an Geräten,Onbeperkte apparaten,Appareils illimités,Nieograniczona liczba urządzeń
new_tariff_button_lost,NewTariff,Choose a new tariff,Выбрать новый тариф,Elige una nueva tarifa,Scegli una nuova tariffa,Wählen Sie einen neuen Tarif,Kies een nieuw tarief,Choisissez un nouveau tarif,Wybierz nową taryfę
new_tariff_button_gold,NewTariff,Got it,Отлично,Lo tengo,Capito,Verstanden,Ik heb het,Je l'ai compris,Rozumiem
widget_connection,Widget,Connecting…,Подключение…,Conectando…,Connessione…,Verbinden…,Verbinden…,Connexion…,Łączę…
widget_disconnection,Widget,Disconnection…,Отключение…,Desconexión…,Disconnessione…,Trennung…,Verbinding verbroken…,Déconnexion…,Rozłączenie…
widget_connected,Widget,Connected,Подключено,Conectado,Connesso,Verbunden,Verbonden,Connecté,Połączono
widget_disconnected,Widget,Disconnected,Не подключено,desconectado,Disconnesso,Nicht verbunden,Verbinding verbroken,Déconnecté,Rozłączony
cs_back,ContentDescriptions,Go back,Назад,volver,Torna indietro,Geh zurück,Ga terug,Retourner,Wróć
cs_tapbar_icon,ContentDescriptions,Icon,Иконка,Icono,Icona,Symbol,Icoon,Icône,Ikona
cs_tapbar_new,ContentDescriptions,New,Новое,Nuevo,Nuovo,Neu,Nieuw,Nouveau,Nowy
cs_tapbar_sale,ContentDescriptions,Sale,Скидки,Venta,Vendita,Verkauf,Verkoop,Vente,Sprzedaż
global_back,Global localized,Back,Назад,Atrás,Indietro,Zurück,Terug,Retour,Powrót
intelligent_selection_method.0,xRay-Notifications,Least Ping,Наименьшая задержка,Ping mínimo,Ping minimo,Least Ping,Minste ping,Moin Ping,Najmniejszy ping
intelligent_selection_method.1,xRay-Notifications,Least Load,Наименьшая нагрузка,Carga mínima,Carico minimo,Geringste Last,Minste belasting,Charge minimale,Najmniejsze obciążenie
subscription_months.one,Global,%d month,%d месяц,%d mes,%d mese,%d Monat,%d maand,%d mois,%d miesiąc
subscription_months.few,Global,%d months,%d месяца,%d meses,%d mesi,%d Monate,%d maanden,%d mois,%d miesiące
subscription_months.many,Global,%d months,%d месяцев,%d meses,%d mesi,%d Monate,%d maanden,%d mois,%d miesięcy
subscription_months.other,Global,%d months,%d месяцев,%d meses,%d mesi,%d Monate,%d maanden,%d mois,%d miesięcy
subscription_days.one,Global,%d day,%d день,%d día,%d giorno,%d Tag,%d dag,%d jour,%d dzień
subscription_days.few,Global,%d days,%d дня,%d días,%d giorni,%d Tage,%d dagen,%d jours,%d dni
subscription_days.many,Global,%d days,%d дней,%d días,%d giorni,%d Tage,%d dagen,%d jours,%d dni
subscription_days.other,Global,%d days,%d дней,%d días,%d giorni,%d Tage,%d dagen,%d jours,%d dni
global_whitelist,Global,White List,White List,White List,White List,White List,White List,White List,White List
